job_id	model_key	classifier	condition	label	precision	recall	f1	support	log
542240	bertweet	prototype	D2.5 (CBDC no-label-select)	negative	0.2897	0.5125	0.3701	1001	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D2.5 (CBDC no-label-select)	neutral	0.414	0.3217	0.3621	1430	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D2.5 (CBDC no-label-select)	positive	0.3666	0.2167	0.2724	1103	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D3 (debias_vl->CBDC)	negative	0.2964	0.6474	0.4067	1001	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D3 (debias_vl->CBDC)	neutral	0.4436	0.3161	0.3691	1430	candidate/logs/slurm_new_542240.log
542240	bertweet	prototype	D3 (debias_vl->CBDC)	positive	0.3556	0.1061	0.1634	1103	candidate/logs/slurm_new_542240.log
542338	roberta	prototype	B1 (raw)	negative	0.5083	0.5185	0.5134	1001	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	B1 (raw)	neutral	0.5955	0.0371	0.0698	1430	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	B1 (raw)	positive	0.3936	0.8649	0.541	1103	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	D1 (debias_vl)	negative	0.5011	0.4735	0.4869	1001	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	D1 (debias_vl)	neutral	0.5361	0.2392	0.3308	1430	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	D1 (debias_vl)	positive	0.4349	0.7688	0.5555	1103	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	D2 (CBDC)	negative	0.4159	0.5584	0.4768	1001	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	D2 (CBDC)	neutral	0.4738	0.4678	0.4708	1430	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	D2 (CBDC)	positive	0.581	0.4098	0.4806	1103	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	D3 (debias_vl->CBDC)	negative	0.4707	0.5944	0.5254	1001	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	D3 (debias_vl->CBDC)	neutral	0.625	0.0315	0.0599	1430	candidate/logs/slurm_new_542338.log
542338	roberta	prototype	D3 (debias_vl->CBDC)	positive	0.4113	0.8196	0.5477	1103	candidate/logs/slurm_new_542338.log
542339	bert-uncased	prototype	B1 (raw)	negative	0.625	0.0599	0.1094	1001	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	B1 (raw)	neutral	0.4332	0.2448	0.3128	1430	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	B1 (raw)	positive	0.3563	0.8495	0.502	1103	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D1 (debias_vl)	negative	0.6307	0.2917	0.3989	1001	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D1 (debias_vl)	neutral	0.4802	0.1867	0.2689	1430	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D1 (debias_vl)	positive	0.4016	0.9157	0.5583	1103	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D2 (CBDC)	negative	0.6917	0.0919	0.1623	1001	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D2 (CBDC)	neutral	0.447	0.2538	0.3238	1430	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D2 (CBDC)	positive	0.3569	0.8377	0.5005	1103	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D2.5 (CBDC no-label-select)	negative	0.7281	0.0829	0.1489	1001	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D2.5 (CBDC no-label-select)	neutral	0.4458	0.2357	0.3083	1430	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D2.5 (CBDC no-label-select)	positive	0.3536	0.854	0.5001	1103	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D3 (debias_vl->CBDC)	negative	0.5868	0.0979	0.1678	1001	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D3 (debias_vl->CBDC)	neutral	0.4795	0.1147	0.1851	1430	candidate/logs/slurm_new_542339.log
542339	bert-uncased	prototype	D3 (debias_vl->CBDC)	positive	0.3481	0.9547	0.5102	1103	candidate/logs/slurm_new_542339.log
542369	bert-large-uncased	prototype	B1 (raw)	negative	0.3376	0.4246	0.3761	1001	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	B1 (raw)	neutral	0.4184	0.2706	0.3287	1430	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	B1 (raw)	positive	0.3556	0.4352	0.3914	1103	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D1 (debias_vl)	negative	0.5267	0.2557	0.3443	1001	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D1 (debias_vl)	neutral	0.4352	0.3755	0.4032	1430	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D1 (debias_vl)	positive	0.3831	0.6301	0.4765	1103	candidate/logs/slurm_new_542369.log
